name,image_url,product_url,cost_price,price,category_name,reviews,stars,is_best_seller,quantity
"Outdoor Living Firebowl - Smokeless Portable Propane Fire Pit, 19-inch Diameter and 52,000 Btu (19 inch)",https://m.media-amazon.com/images/I/71Ii5okQsNL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0C9SLQRGV,139.99,167.988,Outdoor Heating  Cooling,10,4.2,FALSE,50
"Cuisinart COH-800 Cleanburn Smokeless Fire Pit , Black with Stainless Steel Interior and Base",https://m.media-amazon.com/images/I/71Rai4GEj1L._AC_UL320_.jpg,https://www.amazon.ca/dp/B098BQK2XH,172.04,206.448,Outdoor Heating  Cooling,117,4.7,FALSE,50
Porch Shield Fire Pit Cover - Waterproof 600D Heavy Duty Round Patio Fire Bowl Cover Black - 44 inch,https://m.media-amazon.com/images/I/616EBaYgPGL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0797K3ZB2,40.99,49.188,Outdoor Heating  Cooling,18649,4.6,TRUE,50
"Amazon Basics Commercial Outdoor Patio Heater, Slate Grey",https://m.media-amazon.com/images/I/515MEDi9gyL._AC_UL320_.jpg,https://www.amazon.ca/dp/B010VFKZEO,226.51,271.812,Outdoor Heating  Cooling,3233,4.3,FALSE,50
"Generac 9-24kW Air Cooled Battery Heater Kit, Orange (7101) & 9-24kW Air Cooled Oil Heater Kit, Orange (7102)",https://m.media-amazon.com/images/I/31GL1nHa-RL._AC_UL320_.jpg,https://www.amazon.ca/dp/B0BJW38Y26,318,323.98,Outdoor Heating  Cooling,167,4.7,FALSE,70
PureWine Wand Filters Stick Histamines and Sulfites - Reduces Wine Allergies & Purifier Stick Aerates Restoring Taste & Purity,https://m.media-amazon.com/images/I/61ECkhO4blL._AC_UY218_.jpg,https://www.amazon.ca/dp/B06XGP85LR,39.99,46,Barware,9167,3.9,FALSE,50
"200pcs Cocktail Picks,12cm Pearl Fruit Sticks Handmade Sticks Cocktail Skewers Wooden Fancy Toothpicks (Matt Gold)",https://m.media-amazon.com/images/I/71GScvMjWlS._AC_UY218_.jpg,https://www.amazon.ca/dp/B098L6LSVY,15.69,18.828,Barware,69,4.7,FALSE,19
"Cocktail Shaker Making Set: 16pcs Bartender Kit with Eco Bamboo Stand - Stainless Steel Bar Tool Set Scandinavian Style Home DIY Kit (16pcs, Bright Rose Gold)",https://m.media-amazon.com/images/I/81e1sdeuJ2L._AC_UY218_.jpg,https://www.amazon.ca/dp/B08RZ5R2PJ,41.99,50.388,Barware,706,4.4,FALSE,1
"26 oz Cocktail Shaker Bartender Set, findTop Stainless Steel Bartender Set, Shaker Bottle, Mixing Spoon, Muddler, Measuring Jigger, Liquor Pourers",https://m.media-amazon.com/images/I/61p6ZtcHF+S._AC_UY218_.jpg,https://www.amazon.ca/dp/B08BRLCGRG,24.99,29.988,Barware,40,4.3,FALSE,0
"TEAVAS Mixology Bartender Kit with Japanese Jigger & Stand - 25 Piece Stainless Steel Cocktail Making Set with Shaker, Strainer, Mixer, Spoon, Muddler -Barware Accessories for Home Bars & Bartending",https://m.media-amazon.com/images/I/81M-tDadpoL._AC_UY218_.jpg,https://www.amazon.ca/dp/B08QYS11XL,59.99,71.988,Barware,598,4.7,FALSE,50
aarke - Carbonator III Premium Carbonator/Sparkling & Seltzer Water Maker with PET Bottle (Stainless Steel),https://m.media-amazon.com/images/I/517FwMMh46L._AC_UY218_.jpg,https://www.amazon.ca/dp/B08HR72YN1,299,358.8,Small Appliances,4323,4.5,FALSE,79
"VEVOR Ice Shaver Machine Electric, Shaved Ice Machine Commercial 265 LBS/H, Snow Cone Maker w/Ice Hopper & Lid, 250W Ice Crusher w/Drain Pipe Tabletop Shaved Ice Maker w/Adjustable Fineness White",https://m.media-amazon.com/images/I/61AJApiafTL._AC_UY218_.jpg,https://www.amazon.ca/dp/B099RK55M9,264.12,279.78,Small Appliances,600,4.4,FALSE,25
"Chefman Electric Hot Water Pot Urn w/Auto & Manual Dispense Buttons, Safety Lock, Instant Heating for Coffee & Tea, Auto-Shutoff & Boil Dry Protection, Insulated Stainless Steel, 3.6L/3.8 Qt/20+ Cups",https://m.media-amazon.com/images/I/618DdrXKwmL._AC_UY218_.jpg,https://www.amazon.ca/dp/B07W4DT2G9,102.87,123.444,Small Appliances,3685,4,FALSE,26
CUSIMAX Electric Hot Plate for Cooking Portable Single Burner 1500W Cast Iron hot plates Heat-up in Seconds Adjustable Temperature Control Stainless Steel Non-Slip Rubber Feet Upgraded Version B101,https://m.media-amazon.com/images/I/61AdT8QdOXL._AC_UY218_.jpg,https://www.amazon.ca/dp/B07D71TD67,62.93,75.516,Small Appliances,5004,4.3,FALSE,16
